cluster_id,caseName,us_cite,volume,scdb_id,dateFiled,bucket,reason
84929,Young v. Grundy,10 U.S. 51,10,1810-003,1810-02-10,KEEP,has scdb_id
84927,Field v. Holland,10 U.S. 8,10,1810-004,1810-02-12,KEEP,has scdb_id
84931,Oneale v. Thornton,10 U.S. 53,10,1810-005,1810-02-15,KEEP,has scdb_id
6726398,Ex parte Wilson,10 U.S. 52,10,,1810-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726402,Riddle & Co. v. Mandeville & Jamesson,10 U.S. 86,10,,1810-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726411,Stewart v. Anderson,10 U.S. 203,10,,1810-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726415,Lodge's Lessee v. Lee,10 U.S. 237,10,,1810-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726419,De Butts v. Bacon,10 U.S. 252,10,,1810-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726426,Tyler v. Tuel,10 U.S. 324,10,,1810-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726427,Schooner Juliana v. United States,10 U.S. 327,10,,1810-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726428,Schooner Rachel v. United States,10 U.S. 329,10,,1810-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726429,Brigantine Amiable Lucy v. United States,10 U.S. 330,10,,1810-02-15,KEEP,vol>=5 (Cranch/Wheaton)
84928,Maryland Insurance v. Woods,10 U.S. 29,10,1810-006,1810-02-16,KEEP,has scdb_id
84932,King v. Delaware Insurance,10 U.S. 71,10,1810-007,1810-02-17,KEEP,has scdb_id
84926,Scott v. Ben,10 U.S. 3,10,1810-002,1810-02-18,KEEP,has scdb_id
84939,M'knight v. Craig's Administrator,10 U.S. 183,10,1810-008,1810-02-19,KEEP,has scdb_id
6726407,M'Knight v. Craig's Administrator,10 U.S. 183,10,,1810-02-19,KEEP,vol>=5 (Cranch/Wheaton)
84938,Campbell v. Gordon and Wife,10 U.S. 176,10,1810-009,1810-02-20,KEEP,has scdb_id
84933,Lewis v. Harwood,10 U.S. 82,10,1810-010,1810-02-24,KEEP,has scdb_id
84936,Massie v. Watts,10 U.S. 148,10,1810-011,1810-02-28,KEEP,has scdb_id
84940,Kennedy v. Brent,10 U.S. 187,10,1810-012,1810-02-28,KEEP,has scdb_id
6726408,Kennedy v. Brent,10 U.S. 187,10,,1810-02-28,KEEP,vol>=5 (Cranch/Wheaton)
6726405,United States v. Hall & Worth,10 U.S. 171,10,,1810-03-03,KEEP,vol>=5 (Cranch/Wheaton)
6726413,Slacum v. Pomery,10 U.S. 221,10,,1810-03-05,KEEP,vol>=5 (Cranch/Wheaton)
84953,The Chesapeake Insurance Company v. Stark,10 U.S. 268,10,1810-022,1810-03-14,KEEP,has scdb_id
84941,Korn v. Mutual Assurance Soc. Against Fire on Buildings of Va.,10 U.S. 192,10,1810-023,1810-03-15,KEEP,has scdb_id
84957,Durousseau v. United States,10 U.S. 307,10,1810-025,1810-03-15,KEEP,has scdb_id
84960,The Schooner Rachel v. The United States,10 U.S. 329,10,1810-026,1810-03-15,KEEP,has scdb_id
84935,Fletcher v. Peck,10 U.S. 87,10,1810-027,1810-03-16,KEEP,has scdb_id
84951,Sheehy v. Mandeville & Jamesson,10 U.S. 253,10,1810-028,1810-03-16,KEEP,has scdb_id
84954,Livingston & Gilchrist v. Maryland Insurance,10 U.S. 274,10,1810-029,1810-03-16,KEEP,has scdb_id
84956,Smith v. Maryland Ex Rel. Caroll & MacCubbin,10 U.S. 286,10,1810-030,1810-03-16,KEEP,has scdb_id
84958,Tyler and Others v. Tuel,10 U.S. 324,10,1810-031,1810-03-16,KEEP,has scdb_id
84959,The Schooner Juliana v. The United States. The Ship Alligator v. The United States,10 U.S. 327,10,1810-032,1810-03-16,KEEP,has scdb_id
84961,The Brigantine Amiable Lucy v. The United States,10 U.S. 330,10,1810-033,1810-03-16,KEEP,has scdb_id
84942,"Atkinson v. The Mutual Assurance Society Against Fire, on Buildings of the State of Virginia",10 U.S. 202,10,1810-034,1810-03-17,KEEP,has scdb_id
84944,Marine Ins. Co. of Alexandria v. Hodgson,10 U.S. 206,10,1810-035,1810-03-17,KEEP,has scdb_id
84955,Hudson and Smith v. Guestier,10 U.S. 281,10,1810-036,1810-03-17,KEEP,has scdb_id
84962,Sere & Laralde v. Pitot,10 U.S. 332,10,1810-037,1810-03-17,KEEP,has scdb_id
84963,Maryland Insurance v. Ruden's Administrator,10 U.S. 338,10,1810-038,1810-03-17,KEEP,has scdb_id
1119427,Atkinson v. Mutual Assurance Soc. Against Fire on Buildings of Va.,10 U.S. 202,10,,1810-03-17,KEEP,vol>=5 (Cranch/Wheaton)
84937,The United States v. Hall and Worth,10 U.S. 171,10,1810-014,1810-03-18,KEEP,has scdb_id
84943,Stewart v. Anderson,10 U.S. 203,10,1810-013,1810-03-18,KEEP,has scdb_id
84945,Slacum v. Pomery,10 U.S. 221,10,1810-015,1810-03-18,KEEP,has scdb_id
84946,Vasse v. Smith,10 U.S. 226,10,1810-016,1810-03-18,KEEP,has scdb_id
84947,Custiss v. The Georgetown and Alexandria Turnpike Company,10 U.S. 233,10,1810-017,1810-03-18,KEEP,has scdb_id
84948,Lodge's Lessee v. Lee,10 U.S. 237,10,1810-018,1810-03-18,KEEP,has scdb_id
84949,Finley v. Lynn,10 U.S. 238,10,1810-019,1810-03-18,KEEP,has scdb_id
84950,De Butts v. Bacon,10 U.S. 252,10,1810-020,1810-03-18,KEEP,has scdb_id
84952,Skillern's Executors v. May's Executors,10 U.S. 267,10,1810-021,1810-03-18,KEEP,has scdb_id
1119486,United States v. Ship Helen,10 U.S. 203,10,1810-024,1810-03-18,KEEP,has scdb_id
84973,"Hawthorne, of the Brig Clarissa Claiborne v. The United States",11 U.S. 107,11,1812-007,1812-02-01,KEEP,has scdb_id
6726432,Hudson & Smith Guestier,11 U.S. 1,11,,1812-02-03,KEEP,vol>=5 (Cranch/Wheaton)
2490153,Bingham v. Morris,11 U.S. 99,11,1812-004,1812-02-13,KEEP,has scdb_id
2490201,Schooner Catherine v. U. STATES,11 U.S. 99,11,1812-002,1812-02-13,KEEP,has scdb_id
84969,Shirras & Others v. Caig & Mitchel,11 U.S. 34,11,1812-003,1812-02-17,KEEP,has scdb_id
84964,Hudson v. Guestier,11 U.S. 1,11,1812-001,1812-02-18,KEEP,has scdb_id
6726439,Bingham v. Morris,11 U.S. 99,11,,1812-02-18,KEEP,vol>=5 (Cranch/Wheaton)
84965,FITZSIMMONS & OTHERS v. Ogden & Others,11 U.S. 2,11,1812-005,1812-02-20,KEEP,has scdb_id
84966,Brig James Wells v. The U. States,11 U.S. 22,11,1812-006,1812-02-20,KEEP,has scdb_id
84975,Whelan v. The United States,11 U.S. 112,11,1812-008,1812-02-20,KEEP,has scdb_id
2490321,"Hawthorne, Clamn't. of Brig Clarissa Claiborne v. United States",11 U.S. 107,11,,1812-02-20,KEEP,vol>=5 (Cranch/Wheaton)
